category,amount,count,percentage
教育培训,817.0,2,52.44
日用百货,292.35,26,18.76
商户消费,189.07,18,12.13
餐饮美食,53.19,3,3.41
转账,53.0,1,3.4
餐饮,50.0,1,3.21
服饰装扮,35.1,2,2.25
公共服务,25.5,6,1.64
生活服务,24.9,4,1.6
交通,15.0,1,0.96
扫二维码付款,3.0,1,0.19
